name,hex,hue,lightness,saturation,family
dark lilac,#9c6da5,290.36,0.537,0.237,violet
dark periwinkle,#665fd1,243.68,0.596,0.553,blue
bluish grey,#748b97,200.57,0.524,0.144,cyan
puke yellow,#c2be0e,58.67,0.408,0.865,orange
purplish,#94568c,307.74,0.459,0.265,magenta
ultramarine,#2000b1,250.85,0.347,1.0,blue
barney purple,#a00498,303.08,0.322,0.951,magenta
forest,#0b5509,118.42,0.184,0.809,chartreuse
pea soup,#929901,62.76,0.302,0.987,yellow
brownish yellow,#c9b003,52.42,0.4,0.971,orange
bright teal,#01f9c6,167.66,0.49,0.992,teal
bluegreen,#017a79,179.5,0.241,0.984,teal
green brown,#544e03,55.56,0.171,0.931,orange
blurple,#5539cc,251.43,0.512,0.59,blue
light sky blue,#c6fcff,183.16,0.888,1.0,cyan
periwinkle blue,#8f99fb,234.44,0.773,0.931,azure
pale violet,#ceaefa,265.26,0.831,0.884,blue
darker green,#087804,117.93,0.243,0.935,chartreuse
true blue,#010fcc,235.86,0.402,0.99,azure
green grey,#77926f,106.29,0.504,0.138,chartreuse
grey brown,#7f7053,39.55,0.412,0.21,orange
dark olive green,#3c4d03,73.78,0.157,0.925,yellow
apricot,#ffb16d,27.95,0.714,1.0,red
faded purple,#916e99,288.84,0.516,0.174,violet
darker blue,#011288,232.44,0.269,0.985,azure
cerise,#de0c62,335.43,0.459,0.897,rose
khaki green,#728639,75.58,0.375,0.403,yellow
burnt red,#9f2305,11.69,0.322,0.939,red
light forest green,#4f9153,123.64,0.439,0.295,green
violet blue,#510ac9,262.3,0.414,0.905,blue
pale lavender,#eecffe,279.57,0.904,0.959,violet
acid green,#8ffe09,87.18,0.516,0.992,yellow
purple grey,#866f85,302.61,0.48,0.094,grey
lemon,#fdff52,60.69,0.661,1.0,yellow
bright orange,#ff5b00,21.41,0.5,1.0,red
soft green,#6fc276,125.06,0.598,0.405,green
blush,#f29e8e,9.6,0.753,0.794,red
yellowish brown,#9b7a01,47.14,0.306,0.987,orange
fluorescent green,#08ff08,120.0,0.516,1.0,green
electric purple,#aa23ff,276.82,0.569,1.0,violet
steel,#738595,208.24,0.518,0.138,cyan
dull orange,#d8863b,28.66,0.539,0.668,red
muddy green,#657432,73.64,0.325,0.398,yellow
marigold,#fcc006,45.37,0.506,0.976,orange
ocean,#017b92,189.52,0.288,0.986,cyan
light mauve,#c292a1,341.25,0.667,0.282,rose
bordeaux,#7b002c,338.54,0.241,1.0,rose
light blue green,#7efbb3,145.44,0.739,0.94,green
yellowish,#faee66,55.14,0.69,0.937,orange
snot green,#9dc100,71.19,0.378,1.0,yellow
light lime green,#b9ff66,87.45,0.7,1.0,yellow
drab green,#749551,89.12,0.451,0.296,yellow
faded blue,#658cbb,212.79,0.565,0.387,azure
dark forest green,#002d04,125.33,0.088,1.0,green
hot purple,#cb00f5,289.71,0.48,1.0,violet
dark maroon,#3c0008,352.0,0.118,1.0,rose
brown green,#706c11,57.47,0.253,0.736,orange
swamp green,#748500,67.67,0.261,1.0,yellow
light indigo,#6d5acf,249.74,0.582,0.549,blue
purpley blue,#5f34e7,254.41,0.555,0.789,blue
lightish blue,#3d7afd,220.94,0.616,0.98,azure
teal blue,#01889f,188.73,0.314,0.988,cyan
denim blue,#3b5b92,217.93,0.402,0.424,azure
dark lime green,#7ebd01,80.11,0.373,0.989,yellow
dull yellow,#eedc5b,52.65,0.645,0.812,orange
pistachio,#c0fa8b,91.35,0.763,0.917,chartreuse
lemon yellow,#fdff38,60.6,0.61,1.0,yellow
red violet,#9e0168,320.64,0.312,0.987,magenta
dusky pink,#cc7a8b,347.56,0.639,0.446,rose
dirt,#8a6e45,35.65,0.406,0.333,orange
very dark green,#062e03,115.81,0.096,0.878,chartreuse
medium purple,#9e43a2,297.47,0.449,0.415,violet
shit,#7f5f00,44.88,0.249,1.0,orange
dark mustard,#a88905,48.59,0.339,0.942,orange
pea soup green,#94a617,67.55,0.371,0.757,yellow
